sportmonks_fixture_id,fixture_id,player_id,player_name,team_id,match_position,starter,captain,match_minutes,match_goals,match_assists,match_shots,match_shots_on_target,match_xg,league_id,season_id,match_date,goals_last_3,goals_last_5,goals_last_10,assists_last_5,minutes_last_5,starts_last_5,shots_last_5,shots_on_target_last_5,xg_last_5,xg_last_10,goals_per_90,xg_per_90,starter_probability,recent_form_score,position,position_group,formation,lineup_available,lineup_quality_score,starting_xi_json,bench_json,goalkeeper_player_id,expected_minutes,lineup_status,team_strength_proxy,opponent_defense_proxy,target_anytime,first_goal_player_id,target_first_goal,target_most_likely,split,implied_probability_anytime,odds_anytime,implied_probability_first,odds_first,api_football_fixture_id,has_goalscorer_odds,ml_score,odds_implied_anytime,odds_implied_first,ml_norm,odds_norm,form_norm,xg_norm,sot_norm,composite_scorer_score,composite_first_goal_score,ml_rank,odds_rank,composite_rank,first_goal_rank,value_gap,confidence_tier,is_surprise_candidate,is_value_pick
19609127,19609127,5666528,César Huerta,18576,,False,False,0,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,287,4,0,4,1.1208,1.5399,0.0,0.3515,0.8,0.3903,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,75.6,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.300926,3.3333333333333335,0.145743,6.866666666666667,1489369,1,0.362628352557369,0.300926,0.145743,0.44463078706609427,0.7319817664963424,0.07462572417353396,0.3899922334405858,0.5714285714285714,0.537278,0.621813,3.0,2.0,2.0,2.0,-1.0,B,False,False
19609127,19609127,37661731,Mateo Chávez,18576,,False,False,0,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,287,4,0,0,0.0032,0.214,0.0,0.001,0.8,0.0016,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,75.6,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.086247,11.666666666666666,0.040134,25.0,1489369,1,0.23415634366125612,0.086247,0.040134,0.28710694749703036,0.2097898866000613,0.0003059214928968853,0.0011095084877399313,0.0,0.273054,0.382024,6.0,6.0,5.0,5.0,0.0,B,False,False
19609127,19609127,2503729,Santiago Gimenez,18576,,False,False,0,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,2,5,6,1,360,5,0,7,3.6054,4.5238,1.25,0.9013,1.0,5.2301,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,90.0,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.4111113333333334,2.433333333333333,0.209091,4.8,1489369,1,0.8155718477125256,0.4111113333333334,0.209091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,A,False,False
19609127,19609127,253754,Jorge Sánchez,18576,,False,False,0,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,93,1,0,0,0.0,0.0,0.0,0.0,0.5,0.0,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,54.0,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.07008566666666667,14.333333333333334,0.03410066666666667,30.333333333333332,1489369,1,0.23939869887676576,0.07008566666666667,0.03410066666666667,0.2935347750761862,0.17047855649807755,0.0,0.0,0.0,0.220357,0.299495,4.0,7.0,7.0,7.0,3.0,C,False,False
19609127,19609127,254052,Edson Álvarez,18576,,False,False,21,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,316,3,0,0,0.0312,0.0713,0.0,0.0089,0.6,0.0031,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,61.2,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.10740733333333334,9.333333333333334,0.05026466666666667,20.0,1489369,1,0.23833099334427568,0.10740733333333334,0.05026466666666667,0.292225625507715,0.26126093985895144,0.0005927228924877153,0.009874625540885388,0.0,0.258443,0.351029,5.0,5.0,6.0,6.0,0.0,B,False,False
19609127,19609127,253683,Orbelín Pineda,18576,,False,False,0,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,464,5,0,0,0.0007,0.3728,0.0,0.0001,1.0,0.0003,,,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,90.0,bench,0.04807692307692308,0.0,0,254057.0,0,0,test,0.22105266666666668,4.6000000000000005,0.10317433333333333,10.333333333333334,1489369,1,0.23066754059259348,0.22105266666666668,0.10317433333333333,0.2828292090262287,0.5376953850295215,5.736027991816599e-05,0.00011095084877399313,0.0,0.383429,0.535836,7.0,3.0,4.0,4.0,-4.0,C,False,False
19609127,19609127,447092,Álvaro Fidalgo,18576,FWD,True,False,70,0,0,0,0,,732,26618,2026-06-11 19:00:00+00:00,0,0,0,0,165,2,0,1,0.0,0.0,0.0,0.0,0.5,0.0,FWD,FWD,,True,0.800,"[  287894   289341   289096  4243070  5283883 37910690  1504475   289686
  1504516 37681890 37528875 37530277   253701  1525399 21045321   447092
   160217 37253495   254057   253737   254106 37451396]","[37583966 37760511 37392896 36084791 37551389 37690743   288275 37618713
   289600 37438632 37707615   289380 37664151 37622976 21762215   253754
   254052  1525361   254021  2503729   253753    95174 37547842   253683
 37569331 37739232 37661731  5666528   253902   253833]",37530277.0,54.0,starter,0.04807692307692308,0.0,0,254057.0,0,0,test,0.20740733333333336,4.833333333333333,0.09595933333333334,10.75,1489369,1,0.5124611227925898,0.20740733333333336,0.09595933333333334,0.6283457726378304,0.5045040516194316,0.0,0.0,0.14285714285714285,0.431047,0.536966,2.0,4.0,3.0,3.0,2.0,B,False,False
19609153,19609153,24469162,Pavel Sulc,18718,FWD,True,False,67,0,0,0,0,0.0133,732,26618,2026-06-12 02:00:00+00:00,1,1,1,2,289,3,0,1,1.0001,1.9233,0.3114,0.3114,0.6,1.9435,FWD,FWD,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,61.2,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.20000000000000004,5.0,0.08974333333333334,11.25,1538999,1,0.7093999287770598,0.20000000000000004,0.08974333333333334,0.9068334161379562,0.57704958394725,0.6385110716867074,0.5640282557507698,0.125,0.669377,0.696811,3.0,10.0,5.0,6.0,7.0,C,True,True
19609153,19609153,24816824,Lukas Hornicek,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,485,5,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,,,,,1538999,0,0.22731669171362423,,,0.29058132617409205,0.0,0.0,0.0,0.0,0.251703,0.366233,32.0,,31.0,29.0,67.0,D,False,True
19609153,19609153,26313942,Mojmír Chytil,18718,,False,False,6,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,132,1,0,0,0.0131,0.7818,0.0,0.0089,0.2,0.0066,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,32.4,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.25714299999999995,3.9,0.11883533333333333,8.416666666666666,1538999,1,0.25503632700970147,0.25714299999999995,0.11883533333333333,0.3260156285329519,0.7419213058247383,0.002168342203824167,0.016120268067379095,0.0,0.331092,0.424157,26.0,7.0,23.0,23.0,-19.0,D,False,False
